,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pisco,PE,-13.7,-76.2167,65.01,88,90,6.91,overcast clouds
80,Killybegs,IE,54.6333,-8.45,49.71,67,100,5.91,overcast clouds
81,Port Macquarie,AU,-31.4333,152.9167,53.38,90,15,7.27,few clouds
82,Esperance,AU,-33.8667,121.9,60.64,78,100,14.63,light rain
83,Kavieng,PG,-2.5744,150.7967,81.45,78,100,1.07,moderate rain
84,Alamos,MX,27.0167,-108.9333,89.71,25,7,9.62,clear sky
85,Griffith,US,41.5284,-87.4237,87.58,47,1,1.01,clear sky
86,Katsuura,JP,35.1333,140.3,61.11,87,96,5.08,overcast clouds
87,Handan,CN,36.6006,114.4678,77.47,36,100,3.02,light rain
88,Carnarvon,AU,-24.8667,113.6333,71.67,68,13,9.22,few clouds
89,Severo-Kurilsk,RU,50.6789,156.125,40.03,79,80,6.67,broken clouds
90,Belmonte,BR,-15.8631,-38.8828,82.9,62,14,7.36,few clouds
91,Sitka,US,57.0531,-135.33,46.29,87,90,11.5,moderate rain
92,Okhotsk,RU,59.3833,143.3,33.8,99,100,4.03,overcast clouds
93,Campbellton,CA,48.0075,-66.6727,75.65,77,43,11.74,scattered clouds
94,Leningradskiy,RU,69.3833,178.4167,30.83,96,100,10.42,light snow
95,Gweta,BW,-20.1833,25.2333,66.61,52,0,17.63,clear sky
96,Khatanga,RU,71.9667,102.5,24.98,99,100,2.42,overcast clouds
97,Bilma,NE,18.6853,12.9164,94.41,8,1,8.32,clear sky
98,Luanda,AO,-8.8368,13.2343,78.8,89,40,6.91,scattered clouds
99,Chokurdakh,RU,70.6333,147.9167,15.64,95,93,4.79,overcast clouds
100,Vilhena,BR,-12.7406,-60.1458,86.22,62,75,6.91,broken clouds
101,Vostok,RU,46.4856,135.8833,49.91,73,0,4.18,clear sky
102,Sur,OM,22.5667,59.5289,91.0,46,0,9.13,clear sky
103,Camana,PE,-16.6228,-72.7111,68.38,72,24,10.45,few clouds
104,Bossangoa,CF,6.4926,17.4552,72.41,93,12,2.91,few clouds
105,Muros,ES,42.7762,-9.0603,60.15,77,14,7.36,few clouds
106,Tres Arroyos,AR,-38.3739,-60.2798,53.55,81,100,14.43,light rain
107,Omaruru,NA,-21.4333,15.9333,65.95,32,0,8.97,clear sky
108,Mogadishu,SO,2.0371,45.3438,78.51,81,37,16.22,light rain
109,Bredasdorp,ZA,-34.5322,20.0403,47.52,78,100,4.16,overcast clouds
